@relation Position_Tracking_test

@attribute velo NUMERIC
@attribute velo2 NUMERIC
@attribute acc NUMERIC
@attribute grav NUMERIC
@attribute Position {up_sharp,up,keep,down,down_sharp}

@data
-8.84,0.0,0.0,9.77,keep
-8.84,0.0,0.0,9.77,keep
-8.84,0.0,0.0,9.77,keep
-8.84,0.0,0.0,9.77,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,keep
-8.84,0.0,0.0,9.76,down_sharp
-8.84,0.0,0.0,9.76,down_sharp
-8.84,0.0,0.0,9.76,down_sharp
-8.84,0.0,0.0,9.76,down_sharp
0.0,8.84,0.0,9.75,down_sharp
0.0,0.0,0.0,9.75,down_sharp
0.0,0.0,0.0,9.75,down_sharp
0.0,0.0,0.0,9.75,down_sharp
0.0,0.0,0.0,9.75,down_sharp
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,down
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,up
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.75,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,down
0.0,0.0,0.0,9.76,down
0.0,0.0,0.0,9.76,down
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,down
0.0,0.0,0.0,9.76,down
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.76,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.0,0.0,0.0,9.77,keep
0.23,0.23,0.51,9.77,keep
0.45,0.23,0.51,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,keep
0.45,0.0,0.0,9.77,up
0.45,0.0,0.0,9.77,keep
0.0,-0.45,0.0,9.78,keep
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,up
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.78,keep
0.0,0.0,0.0,9.79,keep
0.0,0.0,0.0,9.79,keep
0.0,0.0,0.0,9.79,keep
-0.22,-0.22,-0.5,9.79,keep
-0.45,-0.22,-0.51,9.79,keep
-0.68,-0.23,-0.52,9.79,keep
-0.91,-0.23,-0.52,9.79,keep
-1.2,-0.29,-0.65,9.79,keep
-1.51,-0.31,-0.69,9.79,keep
-1.83,-0.33,-0.73,9.79,keep
-2.22,-0.39,-0.88,9.79,keep
-2.64,-0.42,-0.94,9.79,keep
-3.06,-0.43,-0.96,9.79,keep
-3.51,-0.45,-1.01,9.79,keep
